Bratislava I
1;Spolu;1293;1595;1036;1275;1529;1044;1211;1375;1075;1247;1441;1083;1237;1426;1066;1334;1560;1141;1375;1626;1166
2;Polnohospodarstvo,lesnictvo a rybolov;629;663;514;650;678;557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Priemysel spolu;1500;1689;1210;1489;1712;1166;1277;1407;1091;1373;1552;1154;1372;1610;1120;1445;1639;1231;1625;1821;1391
4;Tazba a dobyvanie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Priemyselna vyroba;1510;1697;1200;1250;1398;1036;1077;1180;928;1218;1346;1061;1209;1389;1026;1287;1439;1128;1409;1560;1245
6;Dodavka elektriny, plynu, pary a studeneho vzduchu;1506;1706;1256;2559;3081;1766;2162;2484;1751;2449;2935;1822;2374;2779;1807;2320;2586;1921;0;0;0
7;"Dodavka vody|cistenie a odvod odpadovych vod, odpady a sluzby odstranovania odpadov";911;898;925;888;878;899;903;894;914;859;829;876;0;0;0;815;802;828;902;862;948
8;Stavebnictvo;1134;1140;1094;1340;1347;1321;1436;1461;1395;1397;1453;1271;1411;1454;1317;1567;1613;1448;1555;1622;1171
9;"Velkoobchod a maloobchod| oprava motorovych vozidiel a motocyklov";1293;1661;1023;993;1235;829;1006;1094;926;1026;1103;960;1100;1394;923;1202;1527;1006;1186;1514;967
10;Doprava a skladovanie;883;876;898;890;893;883;1014;1052;950;1002;1033;937;969;988;929;1078;1107;1021;1137;1184;1045
11;Ubytovacie a stravovacie sluzby;817;956;706;726;782;685;784;1026;656;797;946;712;794;826;751;787;832;746;814;848;784
12;Informacie a komunikacia;2012;2420;1350;2040;2456;1382;1807;2014;1418;1697;1927;1316;1686;1846;1357;1826;2008;1482;1869;2033;1515
13;Financne a poistovacie cinnosti;1725;2662;1261;2048;3112;1421;1775;2448;1432;1863;2459;1520;1719;2239;1411;1912;2549;1550;1883;2512;1536
14;Cinnosti v oblasti nehnutelnosti;1147;1292;1029;935;1070;792;1015;1072;933;1119;1272;962;1635;2118;971;1548;1966;1101;1402;1793;964
15;Odborne, vedecke a technicke cinnosti;1939;2664;1339;1841;2414;1336;1326;1495;1170;1524;1926;1202;1577;1906;1264;1702;2128;1298;1789;2186;1395
16;Administrativne a podporne sluzby;797;824;773;709;712;706;749;811;705;873;927;812;672;694;646;677;727;607;784;842;714
17;"Verejna sprava a obrana| povinne socialne zabezpecenie";1109;1256;990;1158;1264;1068;1233;1351;1152;1185;1318;1091;1225;1332;1146;1337;1463;1246;1309;1491;1209
18;Vzdelavanie;714;774;670;761;838;708;813;908;744;816;911;756;820;877;778;876;940;831;882;949;836
19;Zdravotnictvo a socialna pomoc;859;1086;786;1093;1383;981;1108;1266;1055;1178;1619;1054;1063;1184;1025;1127;1251;1087;1221;1499;1124
20;Umenie, zabava a rekreacia;751;874;656;688;729;655;825;904;771;806;908;736;812;877;764;864;1038;760;917;1069;814
21;Ostatne cinnosti;816;825;810;850;805;884;861;803;912;907;895;914;936;942;933;1071;1046;1085;0;0;0
Bratislava II
1;Spolu;1356;1650;1024;1327;1613;1011;1224;1395;1038;1260;1428;1074;1316;1487;1115;1422;1628;1183;1446;1631;1219
2;Polnohospodarstvo,lesnictvo a rybolov;408;406;410;0;0;0;448;457;414;0;0;0;0;0;0;709;730;620;0;0;0
3;Priemysel spolu;1573;1656;1387;1523;1620;1318;1425;1519;1231;1471;1550;1301;1514;1596;1324;1621;1708;1409;1638;1728;1420
4;Tazba a dobyvanie;0;0;0;1018;1013;1052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Priemyselna vyroba;1488;1567;1293;1445;1540;1227;1360;1461;1139;1394;1479;1198;1448;1540;1220;1558;1657;1301;1567;1673;1296
6;Dodavka elektriny, plynu, pary a studeneho vzduchu;2211;2608;1691;1941;2115;1694;1893;2037;1673;2025;2173;1800;2027;2157;1834;0;0;0;2213;2296;2070
7;"Dodavka vody|cistenie a odvod odpadovych vod, odpady a sluzby odstranovania odpadov";895;891;915;1385;1525;1061;1250;1292;1154;1284;1352;1130;1376;1480;1146;1482;1570;1266;1441;1515;1255
8;Stavebnictvo;1222;1249;1117;1349;1386;1210;1139;1156;1073;1226;1245;1136;1137;1157;1063;1208;1234;1117;1247;1272;1149
9;"Velkoobchod a maloobchod| oprava motorovych vozidiel a motocyklov";1296;1549;1030;1215;1479;957;1098;1217;967;1187;1311;1053;1237;1431;1027;1384;1586;1159;1421;1602;1206
10;Doprava a skladovanie;1447;1590;1114;1452;1560;1191;1238;1250;1208;1188;1209;1138;1273;1312;1179;1322;1355;1244;1380;1389;1358
11;Ubytovacie a stravovacie sluzby;784;1184;514;705;853;593;576;618;552;661;741;630;587;580;590;620;627;616;655;668;646
12;Informacie a komunikacia;2321;2760;1434;2513;2924;1563;2056;2324;1491;2036;2251;1505;2167;2366;1662;2415;2649;1804;2410;2593;1877
13;Financne a poistovacie cinnosti;1903;2816;1345;1836;2702;1321;1714;2260;1395;1600;2164;1317;1611;2056;1374;1782;2373;1464;1873;2445;1521
14;Cinnosti v oblasti nehnutelnosti;873;848;930;1148;1187;1044;975;969;985;945;978;901;1160;1258;1028;1345;1466;1148;1430;1627;1168
15;Odborne, vedecke a technicke cinnosti;1316;1711;930;1313;1491;1092;1211;1322;1101;1286;1389;1185;1390;1512;1270;1551;1834;1306;1570;1760;1387
16;Administrativne a podporne sluzby;835;1006;589;744;863;545;849;903;755;872;878;861;909;902;920;870;905;817;890;935;818
17;"Verejna sprava a obrana| povinne socialne zabezpecenie";1073;1215;988;1013;1148;943;1114;1320;1017;1063;1263;970;1181;1329;1095;1242;1423;1147;1284;1456;1188
18;Vzdelavanie;719;601;736;729;850;704;741;850;717;784;880;765;788;857;770;858;884;849;895;916;888
19;Zdravotnictvo a socialna pomoc;857;973;822;873;960;847;939;1058;902;1006;1151;963;1047;1196;1003;1093;1201;1056;1175;1389;1099
20;Umenie, zabava a rekreacia;677;688;658;612;751;518;786;892;657;768;848;688;879;998;687;983;1167;798;957;1089;839
21;Ostatne cinnosti;740;813;683;693;684;701;905;940;879;1145;1195;1105;867;797;957;961;990;937;0;0;0
Bratislava III
1;Spolu;1200;1333;994;1173;1318;971;1157;1261;1015;1194;1297;1054;1130;1201;1023;1252;1343;1121;1314;1411;1174
2;Polnohospodarstvo,lesnictvo a rybolov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1061;1092;966;971;1053;931
3;Priemysel spolu;1026;1109;865;1279;1429;1034;1104;1142;1026;1224;1288;1108;1230;1279;1118;1326;1383;1186;1330;1398;1165
4;Tazba a dobyvanie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Priemyselna vyroba;1020;1104;860;1281;1441;1032;1095;1132;1022;1223;1289;1106;1249;1304;1127;1334;1396;1189;1339;1412;1168
6;Dodavka elektriny, plynu, pary a studeneho vzduchu;1240;1297;1068;1318;1353;1157;1366;1398;1224;1356;1371;1284;0;0;0;1540;1575;1373;1689;1735;1479
7;"Dodavka vody|cistenie a odvod odpadovych vod, odpady a sluzby odstranovania odpadov";0;0;0;766;0;0;0;0;0;0;0;0;0;0;0;739;708;852;724;696;830
8;Stavebnictvo;908;882;1075;986;943;1261;915;945;773;902;909;848;838;819;1040;923;905;1098;1007;1000;1061
9;"Velkoobchod a maloobchod| oprava motorovych vozidiel a motocyklov";1395;1592;1131;1434;1705;1056;1139;1254;953;1155;1233;1005;1248;1379;1043;1415;1578;1160;1455;1640;1172
10;Doprava a skladovanie;885;907;824;875;888;838;826;816;865;838;824;890;869;871;863;947;949;942;998;995;1011
11;Ubytovacie a stravovacie sluzby;437;424;443;517;457;532;587;565;602;589;520;638;559;518;609;626;611;648;733;752;713
12;Informacie a komunikacia;2428;2996;1449;2231;2573;1449;2227;2621;1493;2103;2483;1512;1880;2111;1440;2056;2386;1524;2242;2635;1614
13;Financne a poistovacie cinnosti;1749;2396;1292;1682;2272;1321;1872;2350;1600;1878;2319;1624;1538;2008;1285;1854;2499;1509;2047;2682;1708
14;Cinnosti v oblasti nehnutelnosti;902;1024;705;651;676;595;926;914;946;1030;1015;1060;1130;1187;996;1155;1196;1072;1085;1116;1022
15;Odborne, vedecke a technicke cinnosti;1272;1414;1156;1305;1420;1196;1196;1360;1065;1166;1266;1086;1181;1256;1090;1314;1441;1170;1416;1523;1304
16;Administrativne a podporne sluzby;623;703;497;524;565;460;731;721;750;627;686;558;592;621;532;704;715;668;720;738;677
17;"Verejna sprava a obrana| povinne socialne zabezpecenie";1108;1146;979;1109;1156;981;1398;1704;1063;1676;2174;1078;1157;1206;1054;1264;1339;1132;1314;1365;1217
18;Vzdelavanie;652;677;638;748;765;740;819;878;792;787;828;771;804;859;785;847;873;838;867;899;855
19;Zdravotnictvo a socialna pomoc;967;1279;885;990;1273;913;1031;1253;975;1168;1394;1107;1184;1505;1100;1255;1566;1176;1305;1607;1216
20;Umenie, zabava a rekreacia;931;1222;672;819;997;696;952;1058;851;775;901;664;862;1058;691;1045;1296;815;1093;1307;893
21;Ostatne cinnosti;1169;1254;1002;842;826;876;1034;1073;917;1152;1156;1148;897;824;1032;866;801;958;913;886;950
Bratislava IV
1;Spolu;1098;1234;904;1061;1221;845;1074;1210;867;1096;1233;894;1212;1358;980;1320;1495;1045;1359;1544;1066
2;Polnohospodarstvo,lesnictvo a rybolov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Priemysel spolu;1232;1248;1151;1356;1379;1230;1455;1473;1339;1410;1435;1252;1605;1641;1386;1787;1823;1574;1821;1859;1601
4;Tazba a dobyvanie;2844;3292;1515;2550;2996;1131;1843;2044;1155;0;0;0;0;0;0;0;0;0;0;0;0
5;Priemyselna vyroba;1222;1239;1124;1362;1383;1231;1456;1475;1324;1417;1440;1253;1613;1647;1391;1804;1834;1595;1834;1869;1606
6;Dodavka elektriny, plynu, pary a studeneho vzduchu;1239;1233;1252;1233;1238;1221;1483;1478;1491;1289;1302;1269;0;0;0;0;0;0;0;0;0
7;"Dodavka vody|cistenie a odvod odpadovych vod, odpady a sluzby odstranovania odpadov";1049;942;1240;1104;1020;1256;1247;1133;1434;1103;1030;1218;0;0;0;1066;1046;1096;1077;1063;1098
8;Stavebnictvo;971;958;1069;1041;1044;1015;810;796;1024;858;862;837;841;839;858;860;863;832;911;910;912
9;"Velkoobchod a maloobchod| oprava motorovych vozidiel a motocyklov";925;1043;828;939;1099;825;902;947;849;929;981;881;911;972;852;932;993;872;1080;1239;914
10;Doprava a skladovanie;985;1060;814;1056;1181;800;1214;1310;983;1163;1255;933;1594;1480;1869;1693;1599;1926;1675;1633;1779
11;Ubytovacie a stravovacie sluzby;517;583;482;560;648;509;544;767;508;531;640;518;500;469;532;595;626;570;575;551;586
12;Informacie a komunikacia;1725;1838;1417;1587;1664;1392;1359;1435;1089;1258;1271;1222;1236;1295;1119;1333;1428;1150;1455;1556;1275
13;Financne a poistovacie cinnosti;1427;2129;1194;1412;1639;1282;1383;1642;1253;1345;1650;1199;1445;1845;1250;1579;2029;1360;1639;2128;1380
14;Cinnosti v oblasti nehnutelnosti;476;466;484;562;551;572;575;661;532;804;1228;599;756;911;646;736;821;680;677;776;618
15;Odborne, vedecke a technicke cinnosti;947;1058;834;1094;1265;910;957;1052;844;1022;1215;869;967;1134;807;1106;1324;851;1020;1160;857
