Bratislava I;Bratislavsky;40;81;10;421;33;130;11;378;37;90;4;289;24;51;2;209;22;24;1;161;13;12;0;134;16;22;1;101;12;21;3;90;11;55;0;104;11;57;2;199;8;46;1;268;6;60;0;326;11;69;0;396;20;55;0;401;14;52;0;402;10;55;0;366
Bratislava II;Bratislavsky;73;140;23;656;61;225;12;377;71;164;4;280;50;146;2;323;51;109;3;285;24;59;3;223;29;64;2;203;23;111;7;185;55;249;3;307;55;295;5;688;71;270;4;899;46;156;2;1303;73;256;5;1377;62;277;7;1512;47;224;4;1336;42;144;5;1032
Bratislava III;Bratislavsky;41;13;0;278;36;48;0;227;27;47;1;183;25;76;1;198;26;63;0;140;19;49;1;123;17;35;3;94;13;45;2;116;32;97;1;166;37;107;0;303;37;112;1;389;22;107;1;554;33;122;3;663;39;124;0;769;31;98;1;741;23;67;1;630
Bratislava IV;Bratislavsky;71;158;24;393;58;215;10;399;54;130;6;283;44;55;2;277;40;79;1;198;30;79;2;178;33;70;5;153;32;95;8;151;44;209;6;196;61;227;2;416;67;259;1;520;43;187;3;741;60;294;1;931;50;246;2;1026;59;190;2;971;59;132;1;889
Bratislava V;Bratislavsky;112;484;39;947;90;577;14;830;57;329;8;509;63;320;4;496;49;188;2;378;56;160;1;357;31;102;4;268;40;109;2;282;48;247;5;396;77;222;4;748;84;213;0;950;40;240;4;1301;70;237;3;1439;57;196;3;1484;58;140;2;1305;58;88;5;961
Malacky;Bratislavsky;243;285;117;2028;186;299;83;1704;84;154;32;968;69;212;21;540;54;191;29;465;50;133;21;400;24;114;27;344;27;143;30;301;68;236;41;565;79;256;55;878;74;223;38;925;39;273;35;1247;59;191;40;1130;60;207;49;1114;71;136;25;979;42;95;27;592
Pezinok;Bratislavsky;143;162;28;405;115;264;13;512;59;144;8;395;61;155;3;385;45;144;3;280;35;125;1;237;35;79;3;192;28;104;1;150;40;227;4;249;64;243;4;495;70;261;6;507;48;241;6;720;71;267;7;790;93;234;0;834;42;163;0;709;37;112;3;394
Senec;Bratislavsky;123;168;34;577;136;234;21;676;59;105;16;345;36;145;6;253;25;119;4;215;25;99;7;208;25;82;2;175;11;73;6;113;32;180;7;164;37;155;12;381;35;183;4;396;9;165;4;447;27;205;6;636;36;192;4;693;26;173;3;579;15;108;1;445
Dunajska Streda;Trnavsky;446;440;234;4417;398;616;125;4065;296;542;83;3178;252;367;61;2677;241;306;50;2367;205;271;54;1988;194;241;45;1759;152;312;38;1374;202;613;37;1818;212;681;49;2936;241;675;53;3230;209;664;42;3831;193;642;38;3556;205;555;28;3450;196;429;38;2746;135;223;26;1708
Galanta;Trnavsky;421;447;184;3544;442;609;113;3750;286;287;40;2440;203;276;36;1646;165;269;39;1455;154;182;31;1221;81;131;29;745;55;142;19;439;100;353;19;369;112;402;23;764;116;343;30;804;88;270;22;947;110;371;23;1056;107;324;17;1060;99;219;9;754;84;145;7;485
